Date,AvgDailyReturn,Volatility,CumulativeReturn,Sharpe,BenchmarkDailyReturn
2023-03-17 04:00:00+00:00,0.00013391719061260586,0.009596914214386016,0.1525090464819432,0.0139541927353962,-0.011019457310067593
2023-03-20 04:00:00+00:00,0.0001374626976170044,0.009593475049325841,0.1594169005024959,0.01432877001401742,0.008918403718310097
2023-03-21 04:00:00+00:00,0.00015227591229884752,0.009597380087214754,0.18777172983771395,0.01586640425981497,0.012982193897784988
2023-03-22 04:00:00+00:00,0.00014835957410139265,0.009592669899898586,0.18057511641881407,0.015465931346492087,-0.01646322377571363
2023-03-23 04:00:00+00:00,0.00014278089998448194,0.009588102454737192,0.17023240854652366,0.014891465820115243,0.0029845287333754023
2023-03-24 04:00:00+00:00,0.00013570141336628123,0.009584581197870761,0.15710349292351689,0.014158303901314711,0.005639807253104534
2023-03-27 04:00:00+00:00,0.00014330964391045118,0.009581410586914437,0.17181807205750022,0.014957050698377607,0.0016469543057482383
2023-03-28 04:00:00+00:00,0.00014375542248064354,0.00957554759817436,0.17300724782482457,0.015012762560759601,-0.0015738434957162095
2023-03-29 04:00:00+00:00,0.00015449645452434322,0.009575029101046248,0.19403008916288145,0.016135350910574428,0.014237268879836451
2023-03-30 04:00:00+00:00,0.0001594982492571602,0.009570263131394946,0.20419687137102804,0.016666025486167798,0.005715269388667954
2023-03-31 04:00:00+00:00,0.00016262414767620383,0.009564991936696358,0.2107565194619827,0.017002016180723768,0.014436542471763847
2023-04-03 04:00:00+00:00,0.00017281628944161115,0.009565508142320859,0.23145258021347104,0.018066608367308452,0.0036988464765423945
2023-04-04 04:00:00+00:00,0.0001679775038413935,0.009560833335504932,0.22210296745404312,0.017569337101358662,-0.005796972083329965
2023-04-05 04:00:00+00:00,0.00016950156627905318,0.009555118421814328,0.22557987310156546,0.017739347519972252,-0.002492370531228194
2023-04-06 04:00:00+00:00,0.00017461101593385238,0.009550460198835237,0.23633195124035944,0.01828299498647696,0.0035791630944272956
2023-04-10 04:00:00+00:00,0.00017513973017494226,0.009547584533708374,0.23762507049618153,0.018343878449737727,0.0009963029974375814
2023-04-11 04:00:00+00:00,0.00017567631881693402,0.00954185251523962,0.23915389563885592,0.018411133324095646,-4.1352477946232646e-05
