Date,AvgDailyReturn,day_index,SimulatedAvgDailyReturn
2025-05-23 04:00:00+00:00,0.00025845778790386587,0,0.00025845778790386587
2025-05-27 04:00:00+00:00,0.0002625305179554747,0,0.0002625305179554747
2025-05-28 04:00:00+00:00,0.00025958856285976346,0,0.00025958856285976346
2025-05-29 04:00:00+00:00,0.0002612877696048285,0,0.0002612877696048285
2025-05-30 04:00:00+00:00,0.0002614290294245721,0,0.0002614290294245721
2025-06-02 04:00:00+00:00,0.0002637161526536437,0,0.0002637161526536437
2025-06-03 04:00:00+00:00,0.0002644002723975013,0,0.0002644002723975013
2025-06-04 04:00:00+00:00,0.0002625851755172123,0,0.0002625851755172123
2025-06-05 04:00:00+00:00,0.0002624204235820792,0,0.0002624204235820792
2025-06-06 04:00:00+00:00,0.00026580131430289515,0,0.00026580131430289515
2025-06-09 04:00:00+00:00,0.00026621919677355426,0,0.00026621919677355426
2025-06-10 04:00:00+00:00,0.00026665206253298853,0,0.00026665206253298853
2025-06-11 04:00:00+00:00,0.0002671209290335279,0,0.0002671209290335279
2025-06-12 04:00:00+00:00,0.00026876471245984747,0,0.00026876471245984747
2025-06-13 04:00:00+00:00,0.0002666021689540677,0,0.0002666021689540677
2025-06-16 04:00:00+00:00,0.0002681421488982533,0,0.0002681421488982533
2025-06-17 04:00:00+00:00,0.0002658775821595578,0,0.0002658775821595578
2025-06-18 04:00:00+00:00,0.0002662065499073295,0,0.0002662065499073295
2025-06-20 04:00:00+00:00,0.00026476726360076297,0,0.00026476726360076297
2025-06-23 04:00:00+00:00,0.0002636057186313419,0,0.0002636057186313419
2025-06-24 04:00:00+00:00,0.00026827408321081686,0,0.00026827408321081686
2025-06-25 04:00:00+00:00,0.00026820876285061897,0,0.00026820876285061897
2025-06-26 04:00:00+00:00,0.000269369486632244,0,0.000269369486632244
2025-06-27 04:00:00+00:00,0.0002717560670920311,0,0.0002717560670920311
2025-06-30 04:00:00+00:00,0.0002711448331139555,0,0.0002711448331139555
2025-07-01 04:00:00+00:00,0.0002702911517295713,0,0.0002702911517295713
2025-07-02 04:00:00+00:00,0.00027192996951525835,0,0.00027192996951525835
2025-07-03 04:00:00+00:00,0.0002736445687589177,0,0.0002736445687589177
2025-07-07 04:00:00+00:00,0.0002708550060272846,0,0.0002708550060272846
2025-07-08 04:00:00+00:00,0.00027333269908496065,0,0.00027333269908496065
2025-07-09 04:00:00+00:00,0.0002755426880066058,0,0.0002755426880066058
2025-07-10 04:00:00+00:00,0.0002780057429520458,0,0.0002780057429520458
2025-07-11 04:00:00+00:00,0.0002769791753457205,0,0.0002769791753457205
2025-07-14 04:00:00+00:00,0.00027735318215708167,0,0.00027735318215708167
2025-07-15 04:00:00+00:00,0.0002750305610540402,0,0.0002750305610540402
2025-07-16 04:00:00+00:00,0.0002759583873030514,0,0.0002759583873030514
2025-07-17 04:00:00+00:00,0.0002786981780871228,0,0.0002786981780871228
2025-07-18 04:00:00+00:00,0.00027781920815278,0,0.00027781920815278
2025-07-21 04:00:00+00:00,0.0002793424288242298,0,0.0002793424288242298
2025-07-22 04:00:00+00:00,0.0002797926372553325,0,0.0002797926372553325
2025-07-23 04:00:00+00:00,0.00028324702082012067,0,0.00028324702082012067
2025-07-24 04:00:00+00:00,0.000283501556462549,0,0.000283501556462549
2025-07-25 04:00:00+00:00,0.0002839453986572495,0,0.0002839453986572495
2025-07-28 04:00:00+00:00,0.00028398682166178317,0,0.00028398682166178317
2025-07-29 04:00:00+00:00,0.0002862984968659017,0,0.0002862984968659017
2025-07-30 04:00:00+00:00,0.00028208364782409117,1,0.0002830836478240912
2025-07-31 04:00:00+00:00,0.00028079122222008566,2,0.00028279122222008566
2025-08-01 04:00:00+00:00,0.00027547891978014653,3,0.00027847891978014655
2025-08-04 04:00:00+00:00,0.00027959633625681825,4,0.00028359633625681823
2025-08-05 04:00:00+00:00,0.0002802203268330639,5,0.0002852203268330639
2025-08-06 04:00:00+00:00,0.0002825191680669805,6,0.00028851916806698046
2025-08-07 04:00:00+00:00,0.0002816598908687608,7,0.0002886598908687608
2025-08-08 04:00:00+00:00,0.00028414768767545375,8,0.0002921476876754537
2025-08-11 04:00:00+00:00,0.00028425721019761626,9,0.00029325721019761626
2025-08-12 04:00:00+00:00,0.0002873381015582331,10,0.00029733810155823314
2025-08-13 04:00:00+00:00,0.00028808165226557254,11,0.00029908165226557253
2025-08-14 04:00:00+00:00,0.00028910456589721975,12,0.00030110456589721977
2025-08-15 04:00:00+00:00,0.0002868378883657719,13,0.0002998378883657719
2025-08-18 04:00:00+00:00,0.00028629610229645734,14,0.00030029610229645736
2025-08-19 04:00:00+00:00,0.00028517564614720533,15,0.0003001756461472053
