Date,AvgDailyReturn,AvgDailyReturnSimulation
2025-06-25 04:00:00.000000,0.00026820876285061897,0.00028161920099314995
2025-06-26 04:00:00.000000,0.000269369486632244,0.0002828379609638562
2025-06-27 04:00:00.000000,0.0002717560670920311,0.00028534387044663266
2025-06-30 04:00:00.000000,0.0002711448331139555,0.00028470207476965326
2025-07-01 04:00:00.000000,0.0002702911517295713,0.0002838057093160499
2025-07-02 04:00:00.000000,0.00027192996951525835,0.0002855264679910213
2025-07-03 04:00:00.000000,0.0002736445687589177,0.0002873267971968636
2025-07-07 04:00:00.000000,0.0002708550060272846,0.00028439775632864883
2025-07-08 04:00:00.000000,0.00027333269908496065,0.0002869993340392087
2025-07-09 04:00:00.000000,0.0002755426880066058,0.0002893198224069361
2025-07-10 04:00:00.000000,0.0002780057429520458,0.0002919060300996481
2025-07-11 04:00:00.000000,0.0002769791753457205,0.00029082813411300654
2025-07-14 04:00:00.000000,0.00027735318215708167,0.00029122084126493577
2025-07-15 04:00:00.000000,0.0002750305610540402,0.00028878208910674224
2025-07-16 04:00:00.000000,0.0002759583873030514,0.000289756306668204
2025-07-17 04:00:00.000000,0.0002786981780871228,0.00029263308699147895
2025-07-18 04:00:00.000000,0.00027781920815278,0.000291710168560419
2025-07-21 04:00:00.000000,0.0002793424288242298,0.0002933095502654413
2025-07-22 04:00:00.000000,0.0002797926372553325,0.00029378226911809914
2025-07-23 04:00:00.000000,0.00028324702082012067,0.00029740937186112674
2025-07-24 04:00:00.000000,0.000283501556462549,0.00029767663428567647
2025-07-25 04:00:00.000000,0.0002839453986572495,0.000298142668590112
2025-07-28 04:00:00.000000,0.00028398682166178317,0.00029818616274487236
2025-07-29 04:00:00.000000,0.0002862984968659017,0.0003006134217091968
2025-07-30 04:00:00.000000,0.00028208364782409117,0.00029618783021529576
2025-07-31 04:00:00.000000,0.00028079122222008566,0.00029483078333109
2025-08-01 04:00:00.000000,0.00027547891978014653,0.0002892528657691539
2025-08-04 04:00:00.000000,0.00027959633625681825,0.00029357615306965914
2025-08-05 04:00:00.000000,0.0002802203268330639,0.0002942313431747171
2025-08-06 04:00:00.000000,0.0002825191680669805,0.0002966451264703295
2025-08-07 04:00:00.000000,0.0002816598908687608,0.00029574288541219884
2025-08-08 04:00:00.000000,0.00028414768767545375,0.00029835507205922646
2025-08-11 04:00:00.000000,0.00028425721019761626,0.0002984700707074971
2025-08-12 04:00:00.000000,0.0002873381015582331,0.0003017050066361448
2025-08-13 04:00:00.000000,0.00028808165226557254,0.0003024857348788512
2025-08-14 04:00:00.000000,0.00028910456589721975,0.00030355979419208076
2025-08-15 04:00:00.000000,0.0002868378883657719,0.0003011797827840605
2025-08-18 04:00:00.000000,0.00028629610229645734,0.0003006109074112802
2025-08-19 04:00:00.000000,0.00028517564614720533,0.0002994344284545656
