Date,Unemployment
2020-04-01,4.085351
2020-07-01,4.960935
2020-10-01,5.258522
2021-01-01,4.908481
2021-04-01,4.668175
2021-07-01,4.371713
2021-10-01,4.171912
2022-01-01,3.790746
2022-04-01,3.7842559999999996
2022-07-01,3.728506
2022-10-01,3.9141160000000004
2023-01-01,4.0012669999999995
2023-04-01,4.227213
2023-07-01,4.106044
2023-10-01,3.856789
2024-01-01,4.341712
2024-04-01,4.196704
2024-07-01,4.2713
2024-10-01,4.382324
2025-01-01,4.535108999999999
2025-04-01,4.659199
